id,name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type,secondary_type,num_abilities,abilities,power_score,strong
1,bulbasaur,7,69,64,45,49,49,65,65,45,grass,poison,2,"overgrow, chlorophyll",318,0
2,ivysaur,10,130,142,60,62,63,80,80,60,grass,poison,2,"overgrow, chlorophyll",405,0
3,venusaur,20,1000,236,80,82,83,100,100,80,grass,poison,2,"overgrow, chlorophyll",525,1
4,charmander,6,85,62,39,52,43,60,50,65,fire,,2,"blaze, solar-power",309,0
5,charmeleon,11,190,142,58,64,58,80,65,80,fire,,2,"blaze, solar-power",405,0
6,charizard,17,905,240,78,84,78,109,85,100,fire,flying,2,"blaze, solar-power",534,1
7,squirtle,5,90,63,44,48,65,50,64,43,water,,2,"torrent, rain-dish",314,0
8,wartortle,10,225,142,59,63,80,65,80,58,water,,2,"torrent, rain-dish",405,0
9,blastoise,16,855,239,79,83,100,85,105,78,water,,2,"torrent, rain-dish",530,1
10,caterpie,3,29,39,45,30,35,20,20,45,bug,,2,"shield-dust, run-away",195,0
11,metapod,7,99,72,50,20,55,25,25,30,bug,,1,shed-skin,205,0
12,butterfree,11,320,178,60,45,50,90,80,70,bug,flying,2,"compound-eyes, tinted-lens",395,0
13,weedle,3,32,39,40,35,30,20,20,50,bug,poison,2,"shield-dust, run-away",195,0
14,kakuna,6,100,72,45,25,50,25,25,35,bug,poison,1,shed-skin,205,0
15,beedrill,10,295,178,65,90,40,45,80,75,bug,poison,2,"swarm, sniper",395,0
16,pidgey,3,18,50,40,45,40,35,35,56,normal,flying,3,"keen-eye, tangled-feet, big-pecks",251,0
17,pidgeotto,11,300,122,63,60,55,50,50,71,normal,flying,3,"keen-eye, tangled-feet, big-pecks",349,0
18,pidgeot,15,395,216,83,80,75,70,70,101,normal,flying,3,"keen-eye, tangled-feet, big-pecks",479,0
19,rattata,3,35,51,30,56,35,25,35,72,normal,,3,"run-away, guts, hustle",253,0
20,raticate,7,185,145,55,81,60,50,70,97,normal,,3,"run-away, guts, hustle",413,0
21,spearow,3,20,52,40,60,30,31,31,70,normal,flying,2,"keen-eye, sniper",262,0
22,fearow,12,380,155,65,90,65,61,61,100,normal,flying,2,"keen-eye, sniper",442,0
23,ekans,20,69,58,35,60,44,40,54,55,poison,,3,"intimidate, shed-skin, unnerve",288,0
24,arbok,35,650,157,60,95,69,65,79,80,poison,,3,"intimidate, shed-skin, unnerve",448,0
25,pikachu,4,60,112,35,55,40,50,50,90,electric,,2,"static, lightning-rod",320,0
26,raichu,8,300,218,60,90,55,90,80,110,electric,,2,"static, lightning-rod",485,0
27,sandshrew,6,120,60,50,75,85,20,30,40,ground,,2,"sand-veil, sand-rush",300,0
28,sandslash,10,295,158,75,100,110,45,55,65,ground,,2,"sand-veil, sand-rush",450,0
29,nidoran-f,4,70,55,55,47,52,40,40,41,poison,,3,"poison-point, rivalry, hustle",275,0
30,nidorina,8,200,128,70,62,67,55,55,56,poison,,3,"poison-point, rivalry, hustle",365,0
31,nidoqueen,13,600,227,90,92,87,75,85,76,poison,ground,3,"poison-point, rivalry, sheer-force",505,1
32,nidoran-m,5,90,55,46,57,40,40,40,50,poison,,3,"poison-point, rivalry, hustle",273,0
33,nidorino,9,195,128,61,72,57,55,55,65,poison,,3,"poison-point, rivalry, hustle",365,0
34,nidoking,14,620,227,81,102,77,85,75,85,poison,ground,3,"poison-point, rivalry, sheer-force",505,1
35,clefairy,6,75,113,70,45,48,60,65,35,fairy,,3,"cute-charm, magic-guard, friend-guard",323,0
36,clefable,13,400,217,95,70,73,95,90,60,fairy,,3,"cute-charm, magic-guard, unaware",483,0
37,vulpix,6,99,60,38,41,40,50,65,65,fire,,2,"flash-fire, drought",299,0
38,ninetales,11,199,177,73,76,75,81,100,100,fire,,2,"flash-fire, drought",505,1
39,jigglypuff,5,55,95,115,45,20,45,25,20,normal,fairy,3,"cute-charm, competitive, friend-guard",270,0
